Player,Team,Role,Captain,ViceCaptain,Matched_Player,API_Name,Suggested_Match,Match_Type,Matches,Runs,Wickets,Catches,Stumpings,RunOuts,Batting_Points,Bowling_Points,Fielding_Points,Base_Points,Multiplier,Points,snapshot_time
matthew potts,f9,NAN,False,False,matthew potts,Matthew Potts,,exact/alias,1,9,0,0,0,0,10,0,0,14,1,14,2026-07-23T10:55:31.533041+00:00
matt henry,cc,NAN,False,False,,,matthew short,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:55:31.533041+00:00
nikolas pooran,sd,,True,False,nicholas pooran,Nicholas Pooran,,exact/alias,1,58,0,2,0,1,88,0,22,114,2,228,2026-07-23T22:31:38.856936+00:00
heinrich klaseen,f9,,False,False,heinrich klaasen,Heinrich Klaasen,,exact/alias,1,17,0,0,0,0,20,0,0,24,1,24,2026-07-23T22:31:38.856936+00:00
ollie pope,sd,,False,False,,,joe root,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
tim seifert,ssw,,False,False,tim seifert,Tim Seifert,,exact/alias,1,67,0,0,0,0,94,0,0,98,1,98,2026-07-23T22:31:38.856936+00:00
sam billings,cc,,False,False,,,liam livingstone,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
tom alsop,sd,,False,False,tom alsop,Tom Alsop,,exact/alias,1,31,0,0,0,0,42,0,0,46,1,46,2026-07-23T22:31:38.856936+00:00
jos buttler,lg,,True,False,jos buttler,Jos Buttler,,exact/alias,1,16,0,0,0,0,19,0,0,23,2,46,2026-07-23T22:31:38.856936+00:00
thomas rew,f9,,False,False,thomas rew,Thomas Rew,,exact/alias,1,41,0,0,0,0,53,0,0,57,1,57,2026-07-23T22:31:38.856936+00:00
donavan ferreria,cc,,False,False,,,daniel worrall,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
jamie smith,ssw,,False,False,jamie smith,Jamie Smith,,exact/alias,1,3,0,0,0,1,3,0,6,13,1,13,2026-07-23T22:31:38.856936+00:00
asa tribe,cc,,False,False,asa tribe,Asa Tribe,,exact/alias,1,11,0,0,0,0,12,0,0,16,1,16,2026-07-23T22:31:38.856936+00:00
dewald bevis,sd,,False,False,dewald brevis,Dewald Brevis,,exact/alias,1,22,0,0,0,0,24,0,0,28,1,28,2026-07-23T22:31:38.856936+00:00
harry brook,ssw,,False,False,harry brook,Harry Brook,,exact/alias,1,8,0,0,0,0,10,0,0,14,1,14,2026-07-23T22:31:38.856936+00:00
tim david,f9,,False,False,,,tim seifert,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
tawanda muyeye,sd,,False,False,,,adam milne,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
adien markram,lg,,False,False,aiden markram,Aiden Markram,,exact/alias,1,1,0,0,0,0,1,0,0,5,1,5,2026-07-23T22:31:38.856936+00:00
joe root,f9,,True,False,joe root,Joe Root,,exact/alias,1,15,0,1,0,0,17,0,8,29,2,58,2026-07-23T22:31:38.856936+00:00
james vince,ssw,,False,False,james vince,James Vince,,exact/alias,1,17,0,0,0,0,19,0,0,23,1,23,2026-07-23T22:31:38.856936+00:00
ben duckett,cc,,False,False,,,ben mckinney,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
matthew short,lg,,False,False,matthew short,Matthew Short,,exact/alias,1,20,1,1,0,0,24,25,8,61,1,61,2026-07-23T22:31:38.856936+00:00
zak crawley,lg,,False,False,zak crawley,Zak Crawley,,exact/alias,1,13,0,0,0,0,14,0,0,18,1,18,2026-07-23T22:31:38.856936+00:00
marcus stoinis,f9,,False,False,,,gus atkinson,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
sam curran,ssw,,True,False,sam curran,Sam Curran,,exact/alias,1,60,2,1,0,0,86,61,8,159,2,318,2026-07-23T22:31:38.856936+00:00
liam livingstone,sd,,False,False,liam livingstone,Liam Livingstone,,exact/alias,1,69,2,1,0,1,98,61,14,177,1,177,2026-07-23T22:31:38.856936+00:00
will jacks,f9,,False,False,will jacks,Will Jacks,,exact/alias,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-23T22:31:38.856936+00:00
jamie overton,cc,,True,False,jamie overton,Jamie Overton,,exact/alias,1,1,0,1,0,0,1,0,8,13,2,26,2026-07-23T22:31:38.856936+00:00
rehan ahmed,ssw,,False,False,,,abrar ahmed,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
noor ahmed,f9,,False,False,noor ahmad,Noor Ahmad,,fuzzy:90.0,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-23T22:31:38.856936+00:00
brydon carse,ssw,,False,False,brydon carse,Brydon Carse,,exact/alias,1,4,2,0,0,0,4,53,0,61,1,61,2026-07-23T22:31:38.856936+00:00
richard gleeson,ssw,,False,False,richard gleeson,Richard Gleeson,,exact/alias,1,0,4,0,0,0,0,118,0,122,1,122,2026-07-23T22:31:38.856936+00:00
josh tougue,sd,,False,False,josh tongue,Josh Tongue,,exact/alias,1,1,1,0,0,0,1,25,0,30,1,30,2026-07-23T22:31:38.856936+00:00
luke wood,f9,,False,False,luke wood,Luke Wood,,exact/alias,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-23T22:31:38.856936+00:00
nathan sowter,f9,,False,False,nathan sowter,Nathan Sowter,,exact/alias,1,0,0,2,0,0,0,0,16,20,1,20,2026-07-23T22:31:38.856936+00:00
jofra archer,cc,,False,False,jofra archer,Jofra Archer,,exact/alias,1,4,0,0,0,0,4,0,0,8,1,8,2026-07-23T22:31:38.856936+00:00
lockie fergunson,sd,,False,False,lockie ferguson,Lockie Ferguson,,exact/alias,1,0,0,0,0,0,0,0,0,4,1,4,2026-07-23T22:31:38.856936+00:00
adam milne,f9,,False,False,adam milne,Adam Milne,,exact/alias,1,0,1,0,0,0,0,33,0,37,1,37,2026-07-23T22:31:38.856936+00:00
marco jasen,sd,,False,False,marco jansen,Marco Jansen,,exact/alias,1,0,2,0,0,1,0,53,6,63,1,63,2026-07-23T22:31:38.856936+00:00
adam zampa,cc,,False,False,adam zampa,Adam Zampa,,exact/alias,1,0,2,0,0,0,0,69,0,73,1,73,2026-07-23T22:31:38.856936+00:00
tymal mills,cc,,False,False,tymal mills,Tymal Mills,,exact/alias,1,0,0,0,0,0,0,0,0,4,1,4,2026-07-23T22:31:38.856936+00:00
adil rashid,sd,,False,False,adil rashid,Adil Rashid,,exact/alias,1,0,0,0,0,0,0,0,0,4,1,4,2026-07-23T22:31:38.856936+00:00
usman tariq,lg,,False,False,,,asa tribe,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
nathan ellis,f9,,False,False,nathan ellis,Nathan Ellis,,exact/alias,1,0,1,0,0,0,-2,33,0,35,1,35,2026-07-23T22:31:38.856936+00:00
phil salt,lg,,False,False,phil salt,Phil Salt,,exact/alias,1,0,0,0,0,1,0,0,6,10,1,10,2026-07-23T22:31:38.856936+00:00
finn allen,sd,,False,False,,,kiran carlson,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
tom banton,lg,,False,False,,,tom alsop,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
lhuan dra p,lg,,False,False,lhuan dre pretorius,Lhuan-dre Pretorius,,fuzzy_margin:81.08108108108108,1,12,0,0,0,0,15,0,0,19,1,19,2026-07-23T22:31:38.856936+00:00
ryan rickelton,ssw,,False,False,ryan rickelton,Ryan Rickelton,,exact/alias,1,25,0,0,0,0,32,0,0,36,1,36,2026-07-23T22:31:38.856936+00:00
jonny bairstow,f9,,False,False,,,sonny baker,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
jordan cox,cc,,False,False,jordan cox,Jordan Cox,,exact/alias,1,6,0,0,0,0,6,0,0,10,1,10,2026-07-23T22:31:38.856936+00:00
james rew,f9,,False,False,james rew,James Rew,,exact/alias,1,0,0,0,0,1,-2,0,6,8,1,8,2026-07-23T22:31:38.856936+00:00
tom kohler,cc,,False,False,,,tom moores,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
tom abell,sd,,False,False,,,tom alsop,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
josh fillpi,lg,,False,False,,,philip salt,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
david miller,ssw,,False,False,david miller,David Miller,,exact/alias,1,44,0,1,0,0,54,0,8,66,1,66,2026-07-23T22:31:38.856936+00:00
jason roy,ssw,,False,False,jason roy,Jason Roy,,exact/alias,1,0,0,1,0,0,-2,0,8,10,1,10,2026-07-23T22:31:38.856936+00:00
will smeed,ssw,,False,False,,,willey,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
joe clarke,sd,,False,False,,,james coles,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
tristan stubbs,cc,,False,False,tristan stubbs,Tristan Stubbs,,exact/alias,1,4,0,0,0,0,4,0,0,8,1,8,2026-07-23T22:31:38.856936+00:00
laurie evans,sd,,False,False,,,marco jansen,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
dan lawrence,sd,,False,False,dan lawrence,Dan Lawrence,,exact/alias,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-23T22:31:38.856936+00:00
david willey,lg,,False,False,david willey,David Willey,,exact/alias,1,0,1,0,0,0,0,25,0,29,1,29,2026-07-23T22:31:38.856936+00:00
nikhil chaudhary,ssw,,False,False,nikhil chaudhary,Nikhil Chaudhary,,exact/alias,1,19,2,0,0,0,22,61,0,87,1,87,2026-07-23T22:31:38.856936+00:00
rachin ravindra,cc,,False,False,rachin ravindra,Rachin Ravindra,,exact/alias,1,24,0,1,0,1,26,0,14,44,1,44,2026-07-23T22:31:38.856936+00:00
mitchell marsh,lg,,False,False,mitchell marsh,Mitchell Marsh,,exact/alias,1,41,0,1,0,0,55,0,8,67,1,67,2026-07-23T22:31:38.856936+00:00
mitchell owen,ssw,,False,False,,,mitchell marsh,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
craig overton,cc,,False,False,,,jamie overton,possible_mismatch:76.92307692307692,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
chris woakes,f9,,False,False,chris woakes,Chris Woakes,,exact/alias,1,0,1,0,0,1,0,25,6,35,1,35,2026-07-23T22:31:38.856936+00:00
tom curran,cc,,False,False,tom curran,Tom Curran,,exact/alias,1,0,1,0,0,0,0,25,0,29,1,29,2026-07-23T22:31:38.856936+00:00
liam dawson,lg,,False,False,liam dawson,Liam Dawson,,exact/alias,1,9,1,0,0,0,10,33,0,47,1,47,2026-07-23T22:31:38.856936+00:00
mitchell santner,cc,,False,False,,,mitchell marsh,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
chris wood,lg,,False,False,,,chris woakes,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
gus atkinson,f9,,False,False,gus atkinson,Gus Atkinson,,exact/alias,1,6,2,2,0,0,7,53,16,80,1,80,2026-07-23T22:31:38.856936+00:00
mustafizur rahman,ssw,,False,False,,,sam curran,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
chris jordan,ssw,,False,False,chris jordan,Chris Jordan,,exact/alias,1,1,0,1,0,0,1,0,8,13,1,13,2026-07-23T22:31:38.856936+00:00
saqib mahmood,lg,,False,False,,,abrar ahmed,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
reece topley,lg,,False,False,,,peter willey,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
bradley currie,lg,,False,False,,,brydon carse,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
trent boult,sd,,False,False,trent boult,Trent Boult,,exact/alias,1,0,1,0,0,1,0,33,6,43,1,43,2026-07-23T22:31:38.856936+00:00
matthew potts,f9,,False,False,matthew potts,Matthew Potts,,exact/alias,1,9,0,0,0,0,10,0,0,14,1,14,2026-07-23T22:31:38.856936+00:00
matt henry,cc,,False,False,,,matthew short,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T22:31:38.856936+00:00
nikolas pooran,sd,,True,False,nicholas pooran,Nicholas Pooran,,exact/alias,1,58,0,2,0,1,88,0,22,114,2,228,2026-07-24T22:34:57.025806+00:00
heinrich klaseen,f9,,False,False,heinrich klaasen,Heinrich Klaasen,,exact/alias,1,17,0,0,0,0,20,0,0,24,1,24,2026-07-24T22:34:57.025806+00:00
ollie pope,sd,,False,False,,,joe root,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-24T22:34:57.025806+00:00
tim seifert,ssw,,False,False,tim seifert,Tim Seifert,,exact/alias,1,67,0,0,0,0,94,0,0,98,1,98,2026-07-24T22:34:57.025806+00:00
sam billings,cc,,False,False,sam billings,Sam Billings,,exact/alias,1,12,0,0,0,0,14,0,0,18,1,18,2026-07-24T22:34:57.025806+00:00
tom alsop,sd,,False,False,tom alsop,Tom Alsop,,exact/alias,1,31,0,0,0,0,42,0,0,46,1,46,2026-07-24T22:34:57.025806+00:00
jos buttler,lg,,True,False,jos buttler,Jos Buttler,,exact/alias,1,16,0,0,0,0,19,0,0,23,2,46,2026-07-24T22:34:57.025806+00:00
thomas rew,f9,,False,False,thomas rew,Thomas Rew,,exact/alias,1,41,0,0,0,0,53,0,0,57,1,57,2026-07-24T22:34:57.025806+00:00
donavan ferreria,cc,,False,False,donovan ferreira,Donovan Ferreira,,exact/alias,1,22,0,0,0,1,28,0,6,38,1,38,2026-07-24T22:34:57.025806+00:00
jamie smith,ssw,,False,False,jamie smith,Jamie Smith,,exact/alias,1,3,0,0,0,1,3,0,6,13,1,13,2026-07-24T22:34:57.025806+00:00
asa tribe,cc,,False,False,asa tribe,Asa Tribe,,exact/alias,1,11,0,0,0,0,12,0,0,16,1,16,2026-07-24T22:34:57.025806+00:00
dewald bevis,sd,,False,False,dewald brevis,Dewald Brevis,,exact/alias,1,22,0,0,0,0,24,0,0,28,1,28,2026-07-24T22:34:57.025806+00:00
harry brook,ssw,,False,False,harry brook,Harry Brook,,exact/alias,1,8,0,0,0,0,10,0,0,14,1,14,2026-07-24T22:34:57.025806+00:00
tim david,f9,,False,False,tim david,Tim David,,exact/alias,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-24T22:34:57.025806+00:00
tawanda muyeye,sd,,False,False,,,adam milne,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-24T22:34:57.025806+00:00
adien markram,lg,,False,False,aiden markram,Aiden Markram,,exact/alias,1,1,0,0,0,0,1,0,0,5,1,5,2026-07-24T22:34:57.025806+00:00
joe root,f9,,True,False,joe root,Joe Root,,exact/alias,1,15,0,1,0,0,17,0,8,29,2,58,2026-07-24T22:34:57.025806+00:00
james vince,ssw,,False,False,james vince,James Vince,,exact/alias,1,17,0,0,0,0,19,0,0,23,1,23,2026-07-24T22:34:57.025806+00:00
ben duckett,cc,,False,False,ben duckett,Ben Duckett,,exact/alias,1,49,0,0,0,0,64,0,0,68,1,68,2026-07-24T22:34:57.025806+00:00
matthew short,lg,,False,False,matthew short,Matthew Short,,exact/alias,1,20,1,1,0,0,24,25,8,61,1,61,2026-07-24T22:34:57.025806+00:00
zak crawley,lg,,False,False,zak crawley,Zak Crawley,,exact/alias,1,13,0,0,0,0,14,0,0,18,1,18,2026-07-24T22:34:57.025806+00:00
marcus stoinis,f9,,False,False,,,gus atkinson,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-24T22:34:57.025806+00:00
sam curran,ssw,,True,False,sam curran,Sam Curran,,exact/alias,1,60,2,1,0,0,86,61,8,159,2,318,2026-07-24T22:34:57.025806+00:00
liam livingstone,sd,,False,False,liam livingstone,Liam Livingstone,,exact/alias,1,69,2,1,0,1,98,61,14,177,1,177,2026-07-24T22:34:57.025806+00:00
will jacks,f9,,False,False,will jacks,Will Jacks,,exact/alias,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-24T22:34:57.025806+00:00
jamie overton,cc,,True,False,jamie overton,Jamie Overton,,exact/alias,1,1,0,1,0,0,1,0,8,13,2,26,2026-07-24T22:34:57.025806+00:00
rehan ahmed,ssw,,False,False,rehan ahmed,Rehan Ahmed,,exact/alias,1,48,0,0,0,0,65,0,0,69,1,69,2026-07-24T22:34:57.025806+00:00
noor ahmed,f9,,False,False,noor ahmad,Noor Ahmad,,fuzzy:90.0,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-24T22:34:57.025806+00:00
brydon carse,ssw,,False,False,brydon carse,Brydon Carse,,exact/alias,1,4,2,0,0,0,4,53,0,61,1,61,2026-07-24T22:34:57.025806+00:00
richard gleeson,ssw,,False,False,richard gleeson,Richard Gleeson,,exact/alias,1,0,4,0,0,0,0,118,0,122,1,122,2026-07-24T22:34:57.025806+00:00
josh tougue,sd,,False,False,josh tongue,Josh Tongue,,exact/alias,1,1,1,0,0,0,1,25,0,30,1,30,2026-07-24T22:34:57.025806+00:00
luke wood,f9,,False,False,luke wood,Luke Wood,,exact/alias,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-24T22:34:57.025806+00:00
nathan sowter,f9,,False,False,nathan sowter,Nathan Sowter,,exact/alias,1,0,0,2,0,0,0,0,16,20,1,20,2026-07-24T22:34:57.025806+00:00
jofra archer,cc,,False,False,jofra archer,Jofra Archer,,exact/alias,1,4,0,0,0,0,4,0,0,8,1,8,2026-07-24T22:34:57.025806+00:00
lockie fergunson,sd,,False,False,lockie ferguson,Lockie Ferguson,,exact/alias,1,0,0,0,0,0,0,0,0,4,1,4,2026-07-24T22:34:57.025806+00:00
adam milne,f9,,False,False,adam milne,Adam Milne,,exact/alias,1,0,1,0,0,0,0,33,0,37,1,37,2026-07-24T22:34:57.025806+00:00
marco jasen,sd,,False,False,marco jansen,Marco Jansen,,exact/alias,1,0,2,0,0,1,0,53,6,63,1,63,2026-07-24T22:34:57.025806+00:00
adam zampa,cc,,False,False,adam zampa,Adam Zampa,,exact/alias,1,0,2,0,0,0,0,69,0,73,1,73,2026-07-24T22:34:57.025806+00:00
tymal mills,cc,,False,False,tymal mills,Tymal Mills,,exact/alias,1,0,0,0,0,0,0,0,0,4,1,4,2026-07-24T22:34:57.025806+00:00
adil rashid,sd,,False,False,adil rashid,Adil Rashid,,exact/alias,1,0,0,0,0,0,0,0,0,4,1,4,2026-07-24T22:34:57.025806+00:00
usman tariq,lg,,False,False,usman tariq,Usman Tariq,,exact/alias,1,0,2,0,0,0,0,53,0,57,1,57,2026-07-24T22:34:57.025806+00:00
nathan ellis,f9,,False,False,nathan ellis,Nathan Ellis,,exact/alias,1,0,1,0,0,0,-2,33,0,35,1,35,2026-07-24T22:34:57.025806+00:00
phil salt,lg,,False,False,phil salt,Phil Salt,,exact/alias,1,0,0,0,0,1,0,0,6,10,1,10,2026-07-24T22:34:57.025806+00:00
finn allen,sd,,False,False,finn allen,Finn Allen,,exact/alias,1,43,0,1,0,0,60,0,8,72,1,72,2026-07-24T22:34:57.025806+00:00
tom banton,lg,,False,False,tom banton,Tom Banton,,exact/alias,1,67,0,1,0,0,96,0,8,108,1,108,2026-07-24T22:34:57.025806+00:00
lhuan dra p,lg,,False,False,lhuan dre pretorius,Lhuan-dre Pretorius,,fuzzy_margin:81.08108108108108,1,12,0,0,0,0,15,0,0,19,1,19,2026-07-24T22:34:57.025806+00:00
ryan rickelton,ssw,,False,False,ryan rickelton,Ryan Rickelton,,exact/alias,1,25,0,0,0,0,32,0,0,36,1,36,2026-07-24T22:34:57.025806+00:00
jonny bairstow,f9,,False,False,,,sonny baker,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-24T22:34:57.025806+00:00
jordan cox,cc,,False,False,jordan cox,Jordan Cox,,exact/alias,1,6,0,0,0,0,6,0,0,10,1,10,2026-07-24T22:34:57.025806+00:00
james rew,f9,,False,False,james rew,James Rew,,exact/alias,1,0,0,0,0,1,-2,0,6,8,1,8,2026-07-24T22:34:57.025806+00:00
tom kohler,cc,,False,False,,,tom moores,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-24T22:34:57.025806+00:00
tom abell,sd,,False,False,,,tom alsop,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-24T22:34:57.025806+00:00
josh fillpi,lg,,False,False,,,philip salt,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-24T22:34:57.025806+00:00
david miller,ssw,,False,False,david miller,David Miller,,exact/alias,1,44,0,1,0,0,54,0,8,66,1,66,2026-07-24T22:34:57.025806+00:00
jason roy,ssw,,False,False,jason roy,Jason Roy,,exact/alias,1,0,0,1,0,0,-2,0,8,10,1,10,2026-07-24T22:34:57.025806+00:00
will smeed,ssw,,False,False,will smeed,Will Smeed,,exact/alias,1,51,0,0,0,0,74,0,0,78,1,78,2026-07-24T22:34:57.025806+00:00
joe clarke,sd,,False,False,joe clarke,Joe Clarke,,exact/alias,1,68,0,2,0,0,98,0,16,118,1,118,2026-07-24T22:34:57.025806+00:00
tristan stubbs,cc,,False,False,tristan stubbs,Tristan Stubbs,,exact/alias,1,4,0,0,0,0,4,0,0,8,1,8,2026-07-24T22:34:57.025806+00:00
laurie evans,sd,,False,False,,,marco jansen,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-24T22:34:57.025806+00:00
dan lawrence,sd,,False,False,dan lawrence,Dan Lawrence,,exact/alias,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-24T22:34:57.025806+00:00
david willey,lg,,False,False,david willey,David Willey,,exact/alias,1,0,1,0,0,0,0,25,0,29,1,29,2026-07-24T22:34:57.025806+00:00
nikhil chaudhary,ssw,,False,False,nikhil chaudhary,Nikhil Chaudhary,,exact/alias,1,19,2,0,0,0,22,61,0,87,1,87,2026-07-24T22:34:57.025806+00:00
rachin ravindra,cc,,False,False,rachin ravindra,Rachin Ravindra,,exact/alias,1,24,0,1,0,1,26,0,14,44,1,44,2026-07-24T22:34:57.025806+00:00
mitchell marsh,lg,,False,False,mitchell marsh,Mitchell Marsh,,exact/alias,1,41,0,1,0,0,55,0,8,67,1,67,2026-07-24T22:34:57.025806+00:00
mitchell owen,ssw,,False,False,mitchell owen,Mitchell Owen,,exact/alias,1,6,1,1,0,0,8,25,8,45,1,45,2026-07-24T22:34:57.025806+00:00
craig overton,cc,,False,False,craig overton,Craig Overton,,exact/alias,1,4,0,1,0,0,4,0,8,16,1,16,2026-07-24T22:34:57.025806+00:00
chris woakes,f9,,False,False,chris woakes,Chris Woakes,,exact/alias,1,0,1,0,0,1,0,25,6,35,1,35,2026-07-24T22:34:57.025806+00:00
tom curran,cc,,False,False,tom curran,Tom Curran,,exact/alias,1,0,1,0,0,0,0,25,0,29,1,29,2026-07-24T22:34:57.025806+00:00
liam dawson,lg,,False,False,liam dawson,Liam Dawson,,exact/alias,1,9,1,0,0,0,10,33,0,47,1,47,2026-07-24T22:34:57.025806+00:00
mitchell santner,cc,,False,False,mitchell santner,Mitchell Santner,,exact/alias,1,7,0,0,0,0,7,0,0,11,1,11,2026-07-24T22:34:57.025806+00:00
chris wood,lg,,False,False,,,chris woakes,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-24T22:34:57.025806+00:00
gus atkinson,f9,,False,False,gus atkinson,Gus Atkinson,,exact/alias,1,6,2,2,0,0,7,53,16,80,1,80,2026-07-24T22:34:57.025806+00:00
mustafizur rahman,ssw,,False,False,,,sam curran,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-24T22:34:57.025806+00:00
chris jordan,ssw,,False,False,chris jordan,Chris Jordan,,exact/alias,1,1,0,1,0,0,1,0,8,13,1,13,2026-07-24T22:34:57.025806+00:00
saqib mahmood,lg,,False,False,saqib mahmood,Saqib Mahmood,,exact/alias,1,0,0,0,0,0,0,0,0,4,1,4,2026-07-24T22:34:57.025806+00:00
reece topley,lg,,False,False,,,peter willey,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-24T22:34:57.025806+00:00
bradley currie,lg,,False,False,,,scott currie,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-24T22:34:57.025806+00:00
trent boult,sd,,False,False,trent boult,Trent Boult,,exact/alias,1,0,1,0,0,1,0,33,6,43,1,43,2026-07-24T22:34:57.025806+00:00
matthew potts,f9,,False,False,matthew potts,Matthew Potts,,exact/alias,1,9,0,0,0,0,10,0,0,14,1,14,2026-07-24T22:34:57.025806+00:00
matt henry,cc,,False,False,matt henry,Matt Henry,,exact/alias,1,0,0,0,0,0,0,0,0,4,1,4,2026-07-24T22:34:57.025806+00:00
nikolas pooran,sd,,True,False,nicholas pooran,Nicholas Pooran,,exact/alias,2,75,0,2,1,1,108,0,34,150,2,300,2026-07-25T22:27:30.442256+00:00
heinrich klaseen,f9,,False,False,heinrich klaasen,Heinrich Klaasen,,exact/alias,1,17,0,0,0,0,20,0,0,24,1,24,2026-07-25T22:27:30.442256+00:00
ollie pope,sd,,False,False,,,joe root,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-25T22:27:30.442256+00:00
tim seifert,ssw,,False,False,tim seifert,Tim Seifert,,exact/alias,1,67,0,0,0,0,94,0,0,98,1,98,2026-07-25T22:27:30.442256+00:00
sam billings,cc,,False,False,sam billings,Sam Billings,,exact/alias,1,12,0,0,0,0,14,0,0,18,1,18,2026-07-25T22:27:30.442256+00:00
tom alsop,sd,,False,False,tom alsop,Tom Alsop,,exact/alias,2,52,0,1,0,0,68,0,8,84,1,84,2026-07-25T22:27:30.442256+00:00
jos buttler,lg,,True,False,jos buttler,Jos Buttler,,exact/alias,1,16,0,0,0,0,19,0,0,23,2,46,2026-07-25T22:27:30.442256+00:00
thomas rew,f9,,False,False,thomas rew,Thomas Rew,,exact/alias,1,41,0,0,0,0,53,0,0,57,1,57,2026-07-25T22:27:30.442256+00:00
donavan ferreria,cc,,False,False,donovan ferreira,Donovan Ferreira,,exact/alias,1,22,0,0,0,1,28,0,6,38,1,38,2026-07-25T22:27:30.442256+00:00
jamie smith,ssw,,False,False,jamie smith,Jamie Smith,,exact/alias,2,33,0,0,0,1,45,0,6,59,1,59,2026-07-25T22:27:30.442256+00:00
asa tribe,cc,,False,False,asa tribe,Asa Tribe,,exact/alias,2,11,0,1,0,0,12,0,8,28,1,28,2026-07-25T22:27:30.442256+00:00
dewald bevis,sd,,False,False,dewald brevis,Dewald Brevis,,exact/alias,1,22,0,0,0,0,24,0,0,28,1,28,2026-07-25T22:27:30.442256+00:00
harry brook,ssw,,False,False,harry brook,Harry Brook,,exact/alias,2,11,0,1,0,0,13,0,8,29,1,29,2026-07-25T22:27:30.442256+00:00
tim david,f9,,False,False,tim david,Tim David,,exact/alias,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-25T22:27:30.442256+00:00
